time,magX,magY,magZ,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,temperature,pressure,altitude,accMag,qw,qx,qy,qz,initialAltAchieved,landingDetected
5.45, -0.03, -0.18, 0.50, -0.88, 0.12, -10.09, 0.00, -0.05, -0.05, 30.50, 100.11, 102.07, 10.12, 0.03, -0.01, 0.78, 0.63, 1, 0
5.47, -0.03, -0.19, 0.50, -0.51, -0.11, -10.04, -0.04, -0.06, -0.01, 30.50, 100.11, 101.74, 10.05, 0.03, -0.01, 0.78, 0.63, 1, 0
5.49, -0.03, -0.19, 0.50, -0.51, -0.11, -10.04, -0.04, -0.06, -0.01, 30.50, 100.11, 101.74, 10.05, 0.03, -0.01, 0.78, 0.63, 1, 0
5.51, -0.03, -0.18, 0.50, -0.23, -0.41, -10.04, -0.04, -0.05, 0.03, 30.50, 100.11, 101.74, 10.05, 0.03, -0.01, 0.78, 0.63, 1, 0
5.53, -0.03, -0.18, 0.50, -0.23, -0.41, -10.04, -0.04, -0.05, 0.03, 30.50, 100.11, 101.74, 10.05, 0.03, -0.01, 0.78, 0.63, 1, 0
5.55, -0.03, -0.18, 0.50, -0.09, -0.58, -10.08, -0.02, -0.03, 0.06, 30.50, 100.12, 101.15, 10.10, 0.03, -0.01, 0.78, 0.63, 1, 0
5.57, -0.03, -0.18, 0.50, -0.09, -0.58, -10.08, -0.02, -0.03, 0.06, 30.50, 100.12, 101.15, 10.10, 0.03, -0.01, 0.78, 0.63, 1, 0
5.59, -0.03, -0.18, 0.50, 0.01, -0.64, -10.02, -0.01, -0.00, 0.07, 30.50, 100.12, 100.73, 10.04, 0.03, -0.01, 0.78, 0.63, 1, 0
5.61, -0.03, -0.18, 0.50, 0.01, -0.64, -10.02, -0.01, -0.00, 0.07, 30.50, 100.12, 100.73, 10.04, 0.03, -0.01, 0.78, 0.63, 1, 0
5.63, -0.03, -0.18, 0.50, -0.36, -0.52, -9.99, 0.00, 0.02, -0.04, 30.50, 100.11, 102.07, 10.01, 0.03, -0.01, 0.78, 0.63, 1, 0
5.65, -0.03, -0.18, 0.50, -0.36, -0.52, -9.99, 0.00, 0.02, -0.04, 30.50, 100.11, 102.07, 10.01, 0.03, -0.01, 0.78, 0.63, 1, 0
5.67, -0.03, -0.19, 0.50, -0.65, -0.41, -9.97, -0.00, 0.01, -0.08, 30.50, 100.13, 100.14, 10.00, 0.03, -0.01, 0.78, 0.63, 1, 0
5.69, -0.03, -0.19, 0.50, -0.65, -0.41, -9.97, -0.00, 0.01, -0.08, 30.50, 100.13, 100.14, 10.00, 0.03, -0.01, 0.78, 0.63, 1, 0
5.71, -0.03, -0.18, 0.50, -0.56, -0.63, -9.93, 0.00, 0.01, -0.03, 30.50, 100.12, 101.15, 9.96, 0.03, -0.01, 0.78, 0.63, 1, 0
5.73, -0.03, -0.18, 0.50, -0.56, -0.63, -9.93, 0.00, 0.01, -0.03, 30.50, 100.12, 101.15, 9.96, 0.03, -0.01, 0.78, 0.63, 1, 0
5.75, -0.03, -0.19, 0.50, -0.66, -0.67, -9.83, 0.03, 0.01, 0.01, 30.50, 100.10, 102.66, 9.88, 0.03, -0.01, 0.78, 0.63, 1, 0
5.77, -0.03, -0.19, 0.50, -0.66, -0.67, -9.83, 0.03, 0.01, 0.01, 30.50, 100.10, 102.66, 9.88, 0.03, -0.01, 0.78, 0.63, 1, 0
5.79, -0.03, -0.18, 0.50, -0.62, -0.54, -9.87, 0.03, -0.00, -0.02, 30.50, 100.11, 101.74, 9.91, 0.03, -0.01, 0.78, 0.63, 1, 0
5.81, -0.03, -0.18, 0.50, -0.62, -0.54, -9.87, 0.03, -0.00, -0.02, 30.50, 100.11, 101.74, 9.91, 0.03, -0.01, 0.78, 0.63, 1, 0
5.83, -0.03, -0.19, 0.50, -0.59, -0.40, -9.92, 0.02, -0.01, -0.02, 30.50, 100.11, 101.74, 9.94, 0.03, -0.01, 0.78, 0.63, 1, 0
5.85, -0.03, -0.19, 0.50, -0.59, -0.40, -9.92, 0.02, -0.01, -0.02, 30.50, 100.11, 101.74, 9.94, 0.03, -0.01, 0.78, 0.63, 1, 0
5.87, -0.03, -0.19, 0.51, -0.64, -0.30, -9.84, 0.02, -0.01, -0.02, 30.50, 100.11, 101.74, 9.86, 0.03, -0.01, 0.78, 0.63, 1, 0
5.89, -0.03, -0.19, 0.51, -0.64, -0.30, -9.84, 0.02, -0.01, -0.02, 30.50, 100.11, 101.74, 9.86, 0.03, -0.01, 0.78, 0.63, 1, 0
5.91, -0.03, -0.18, 0.50, -0.67, -0.36, -9.86, 0.00, -0.01, -0.03, 30.50, 100.11, 101.74, 9.89, 0.03, -0.01, 0.78, 0.63, 1, 0
5.93, -0.03, -0.18, 0.50, -0.67, -0.36, -9.86, 0.00, -0.01, -0.03, 30.50, 100.11, 101.74, 9.89, 0.03, -0.01, 0.78, 0.63, 1, 0
5.95, -0.03, -0.18, 0.50, -0.64, -0.59, -9.96, 0.01, -0.01, -0.03, 30.50, 100.12, 100.73, 10.00, 0.03, -0.01, 0.78, 0.63, 1, 0
5.97, -0.03, -0.18, 0.50, -0.64, -0.59, -9.96, 0.01, -0.01, -0.03, 30.50, 100.12, 100.73, 10.00, 0.03, -0.01, 0.78, 0.63, 1, 0
5.99, -0.03, -0.18, 0.50, -0.56, -0.67, -9.97, 0.02, -0.02, -0.03, 30.50, 100.11, 101.74, 10.00, 0.03, -0.01, 0.78, 0.63, 1, 0
6.01, -0.03, -0.18, 0.50, -0.56, -0.67, -9.97, 0.02, -0.02, -0.03, 30.50, 100.11, 101.74, 10.00, 0.03, -0.01, 0.78, 0.63, 1, 0
6.03, -0.03, -0.18, 0.50, -0.47, -0.52, -9.95, 0.02, -0.02, -0.02, 30.50, 100.10, 102.66, 9.98, 0.03, -0.00, 0.77, 0.64, 1, 0
6.05, -0.03, -0.18, 0.50, -0.47, -0.52, -9.95, 0.02, -0.02, -0.02, 30.50, 100.10, 102.66, 9.98, 0.03, -0.00, 0.77, 0.64, 1, 0
6.07, -0.03, -0.18, 0.50, -0.48, -0.50, -9.95, 0.02, -0.01, -0.02, 30.50, 100.11, 101.74, 9.97, 0.03, -0.00, 0.77, 0.64, 1, 0
6.09, -0.03, -0.18, 0.50, -0.48, -0.50, -9.95, 0.02, -0.01, -0.02, 30.50, 100.11, 101.74, 9.97, 0.03, -0.00, 0.77, 0.64, 1, 0
6.11, -0.03, -0.18, 0.51, -0.43, -0.39, -10.02, 0.01, 0.00, 0.00, 30.50, 100.12, 100.73, 10.04, 0.03, -0.00, 0.77, 0.64, 1, 0
6.13, -0.03, -0.18, 0.51, -0.43, -0.39, -10.02, 0.01, 0.00, 0.00, 30.50, 100.12, 100.73, 10.04, 0.03, -0.00, 0.77, 0.64, 1, 0
6.15, -0.03, -0.19, 0.50, -0.43, -0.56, -10.06, 0.00, 0.02, -0.01, 30.50, 100.12, 100.39, 10.08, 0.03, -0.00, 0.77, 0.64, 1, 0
6.17, -0.03, -0.19, 0.50, -0.43, -0.56, -10.06, 0.00, 0.02, -0.01, 30.50, 100.12, 100.39, 10.08, 0.03, -0.00, 0.77, 0.64, 1, 0
6.19, -0.03, -0.17, 0.51, -0.41, -0.60, -10.00, 0.00, 0.03, -0.03, 30.50, 100.11, 101.40, 10.02, 0.03, -0.00, 0.77, 0.64, 1, 0
6.21, -0.03, -0.17, 0.51, -0.41, -0.60, -10.00, 0.00, 0.03, -0.03, 30.50, 100.11, 101.40, 10.02, 0.03, -0.00, 0.77, 0.64, 1, 0
6.23, -0.03, -0.18, 0.50, -0.60, -0.56, -9.98, 0.01, 0.03, -0.00, 30.50, 100.11, 101.40, 10.02, 0.03, -0.00, 0.77, 0.64, 1, 0
6.25, -0.03, -0.18, 0.50, -0.60, -0.56, -9.98, 0.01, 0.03, -0.00, 30.50, 100.11, 101.40, 10.02, 0.03, -0.00, 0.77, 0.64, 1, 0
6.27, -0.03, -0.18, 0.51, -0.59, -0.34, -10.04, 0.01, 0.03, -0.02, 30.50, 100.11, 101.40, 10.06, 0.03, -0.00, 0.77, 0.64, 1, 0
6.29, -0.03, -0.18, 0.51, -0.59, -0.34, -10.04, 0.01, 0.03, -0.02, 30.50, 100.11, 101.40, 10.06, 0.03, -0.00, 0.77, 0.64, 1, 0
6.31, -0.03, -0.18, 0.50, -0.68, -0.16, -10.06, -0.00, 0.02, -0.02, 30.50, 100.11, 101.40, 10.08, 0.03, -0.00, 0.77, 0.64, 1, 0
6.33, -0.03, -0.18, 0.50, -0.68, -0.16, -10.06, -0.00, 0.02, -0.02, 30.50, 100.11, 101.40, 10.08, 0.03, -0.00, 0.77, 0.64, 1, 0
6.35, -0.03, -0.18, 0.51, -0.81, -0.55, -10.01, -0.01, 0.01, -0.02, 30.50, 100.11, 101.40, 10.06, 0.03, -0.00, 0.77, 0.64, 1, 0
6.37, -0.03, -0.18, 0.51, -0.81, -0.55, -10.01, -0.01, 0.01, -0.02, 30.50, 100.11, 101.40, 10.06, 0.03, -0.00, 0.77, 0.64, 1, 0
6.39, -0.04, -0.17, 0.50, -0.81, -0.49, -10.01, -0.01, -0.01, -0.02, 30.50, 100.11, 101.74, 10.06, 0.03, -0.00, 0.77, 0.63, 1, 0
6.41, -0.04, -0.17, 0.50, -0.81, -0.49, -10.01, -0.01, -0.01, -0.02, 30.50, 100.11, 101.74, 10.06, 0.03, -0.00, 0.77, 0.63, 1, 0
6.43, -0.04, -0.18, 0.50, -0.53, -0.49, -9.90, -0.01, -0.02, -0.04, 30.50, 100.10, 102.32, 9.93, 0.03, -0.00, 0.77, 0.63, 1, 0
6.45, -0.04, -0.18, 0.50, -0.53, -0.49, -9.90, -0.01, -0.02, -0.04, 30.50, 100.10, 102.32, 9.93, 0.03, -0.00, 0.77, 0.63, 1, 0
6.47, -0.04, -0.18, 0.50, -0.44, -0.46, -10.01, -0.01, -0.02, -0.06, 30.50, 100.10, 102.32, 10.03, 0.03, -0.00, 0.77, 0.63, 1, 0
6.49, -0.04, -0.18, 0.50, -0.44, -0.46, -10.01, -0.01, -0.02, -0.06, 30.50, 100.10, 102.32, 10.03, 0.03, -0.00, 0.77, 0.63, 1, 0
6.51, -0.03, -0.18, 0.50, -0.41, -0.38, -10.02, -0.01, -0.02, -0.03, 30.50, 100.11, 101.99, 10.04, 0.03, -0.00, 0.77, 0.63, 1, 0
6.53, -0.03, -0.18, 0.50, -0.41, -0.38, -10.02, -0.01, -0.02, -0.03, 30.50, 100.11, 101.99, 10.04, 0.03, -0.00, 0.77, 0.63, 1, 0
6.55, -0.04, -0.17, 0.50, -0.43, -0.49, -10.02, -0.02, -0.01, -0.02, 30.50, 100.11, 101.40, 10.04, 0.03, -0.00, 0.77, 0.63, 1, 0
6.57, -0.04, -0.17, 0.50, -0.43, -0.49, -10.02, -0.02, -0.01, -0.02, 30.50, 100.11, 101.40, 10.04, 0.03, -0.00, 0.77, 0.63, 1, 0
6.59, -0.03, -0.18, 0.50, -0.45, -0.48, -9.89, -0.02, -0.01, -0.07, 30.50, 100.11, 101.40, 9.91, 0.03, -0.00, 0.77, 0.63, 1, 0
6.61, -0.03, -0.18, 0.50, -0.45, -0.48, -9.89, -0.02, -0.01, -0.07, 30.50, 100.11, 101.40, 9.91, 0.03, -0.00, 0.77, 0.63, 1, 0
6.63, -0.04, -0.17, 0.50, -1.07, 0.29, -10.10, -0.03, -0.02, 0.01, 30.60, 100.11, 101.99, 10.16, 0.03, -0.00, 0.78, 0.63, 1, 0
6.65, -0.04, -0.17, 0.50, -1.07, 0.29, -10.10, -0.03, -0.02, 0.01, 30.60, 100.11, 101.99, 10.16, 0.03, -0.00, 0.78, 0.63, 1, 0
6.67, -0.03, -0.18, 0.50, -0.72, -0.06, -10.00, -0.09, -0.05, -0.04, 30.60, 100.10, 102.32, 10.02, 0.03, -0.01, 0.78, 0.63, 1, 0
6.69, -0.03, -0.18, 0.50, -0.72, -0.06, -10.00, -0.09, -0.05, -0.04, 30.60, 100.10, 102.32, 10.02, 0.03, -0.01, 0.78, 0.63, 1, 0
6.71, -0.03, -0.18, 0.50, -0.66, -0.46, -9.87, -0.09, -0.05, -0.08, 30.60, 100.11, 101.40, 9.90, 0.03, -0.01, 0.78, 0.63, 1, 0
6.73, -0.03, -0.18, 0.50, -0.66, -0.46, -9.87, -0.09, -0.05, -0.08, 30.60, 100.11, 101.40, 9.90, 0.03, -0.01, 0.78, 0.63, 1, 0
6.75, -0.03, -0.19, 0.50, -0.42, -1.04, -9.78, -0.05, -0.04, -0.06, 30.50, 100.10, 102.32, 9.85, 0.03, -0.01, 0.78, 0.63, 1, 0
6.77, -0.03, -0.19, 0.50, -0.42, -1.04, -9.78, -0.05, -0.04, -0.06, 30.50, 100.10, 102.32, 9.85, 0.03, -0.01, 0.78, 0.63, 1, 0
6.79, -0.03, -0.19, 0.50, -0.45, -1.12, -9.80, 0.00, -0.03, -0.01, 30.60, 100.12, 101.06, 9.88, 0.03, -0.01, 0.78, 0.63, 1, 0
6.81, -0.03, -0.19, 0.50, -0.45, -1.12, -9.80, 0.00, -0.03, -0.01, 30.60, 100.12, 101.06, 9.88, 0.03, -0.01, 0.78, 0.63, 1, 0
6.83, -0.03, -0.19, 0.50, -0.51, -0.70, -9.97, 0.02, -0.03, 0.03, 30.50, 100.11, 101.40, 10.01, 0.03, -0.01, 0.78, 0.63, 1, 0
6.85, -0.03, -0.19, 0.50, -0.51, -0.70, -9.97, 0.02, -0.03, 0.03, 30.50, 100.11, 101.40, 10.01, 0.03, -0.01, 0.78, 0.63, 1, 0
6.87, -0.03, -0.19, 0.50, -0.47, -0.50, -10.02, 0.02, -0.02, -0.02, 30.50, 100.10, 102.32, 10.04, 0.03, -0.01, 0.78, 0.63, 1, 0
6.89, -0.03, -0.19, 0.50, -0.47, -0.50, -10.02, 0.02, -0.02, -0.02, 30.50, 100.10, 102.32, 10.04, 0.03, -0.01, 0.78, 0.63, 1, 0
6.91, -0.03, -0.19, 0.50, -0.51, -0.42, -9.99, 0.01, -0.01, -0.02, 30.60, 100.12, 101.06, 10.01, 0.03, -0.01, 0.78, 0.63, 1, 0
6.93, -0.03, -0.19, 0.50, -0.51, -0.42, -9.99, 0.01, -0.01, -0.02, 30.60, 100.12, 101.06, 10.01, 0.03, -0.01, 0.78, 0.63, 1, 0
6.95, -0.03, -0.19, 0.50, -0.45, -0.40, -9.99, 0.01, -0.01, -0.02, 30.60, 100.11, 101.99, 10.01, 0.03, -0.01, 0.78, 0.63, 1, 0
6.97, -0.03, -0.19, 0.50, -0.45, -0.40, -9.99, 0.01, -0.01, -0.02, 30.60, 100.11, 101.99, 10.01, 0.03, -0.01, 0.78, 0.63, 1, 0
6.99, -0.03, -0.19, 0.50, -0.61, -0.24, -9.98, 0.00, 0.00, -0.02, 30.60, 100.12, 101.06, 10.00, 0.03, -0.01, 0.78, 0.63, 1, 0
7.01, -0.03, -0.19, 0.50, -0.61, -0.24, -9.98, 0.00, 0.00, -0.02, 30.60, 100.12, 101.06, 10.00, 0.03, -0.01, 0.78, 0.63, 1, 0
7.03, -0.02, -0.19, 0.50, -0.67, -0.40, -9.97, -0.00, 0.00, -0.02, 30.60, 100.11, 101.99, 10.00, 0.03, -0.01, 0.78, 0.63, 1, 0
7.05, -0.02, -0.19, 0.50, -0.67, -0.40, -9.97, -0.00, 0.00, -0.02, 30.60, 100.11, 101.99, 10.00, 0.03, -0.01, 0.78, 0.63, 1, 0
7.07, -0.03, -0.18, 0.50, -0.64, -0.53, -9.91, 0.01, 0.01, 0.00, 30.60, 100.11, 101.99, 9.94, 0.03, -0.01, 0.78, 0.63, 1, 0
7.09, -0.03, -0.18, 0.50, -0.64, -0.53, -9.91, 0.01, 0.01, 0.00, 30.60, 100.11, 101.99, 9.94, 0.03, -0.01, 0.78, 0.63, 1, 0
7.11, -0.03, -0.18, 0.50, -0.65, -0.52, -9.90, 0.01, 0.01, 0.01, 30.60, 100.12, 100.64, 9.94, 0.03, -0.01, 0.78, 0.62, 1, 0
7.13, -0.03, -0.18, 0.50, -0.65, -0.52, -9.90, 0.01, 0.01, 0.01, 30.60, 100.12, 100.64, 9.94, 0.03, -0.01, 0.78, 0.62, 1, 0
7.15, -0.02, -0.17, 0.50, -0.75, -0.59, -9.93, 0.02, 0.00, 0.01, 30.60, 100.12, 101.06, 9.98, 0.03, -0.01, 0.78, 0.62, 1, 0
7.17, -0.02, -0.17, 0.50, -0.75, -0.59, -9.93, 0.02, 0.00, 0.01, 30.60, 100.12, 101.06, 9.98, 0.03, -0.01, 0.78, 0.62, 1, 0
7.19, -0.02, -0.18, 0.50, -0.66, -0.47, -9.92, 0.03, -0.01, -0.02, 30.60, 100.11, 101.65, 9.96, 0.03, -0.01, 0.78, 0.62, 1, 0
7.21, -0.02, -0.18, 0.50, -0.66, -0.47, -9.92, 0.03, -0.01, -0.02, 30.60, 100.11, 101.65, 9.96, 0.03, -0.01, 0.78, 0.62, 1, 0
7.23, -0.03, -0.18, 0.50, -0.64, -0.44, -9.88, 0.03, 0.00, 0.01, 30.60, 100.12, 101.06, 9.91, 0.03, -0.01, 0.78, 0.62, 1, 0
7.25, -0.03, -0.18, 0.50, -0.64, -0.44, -9.88, 0.03, 0.00, 0.01, 30.60, 100.12, 101.06, 9.91, 0.03, -0.01, 0.78, 0.62, 1, 0
7.27, -0.03, -0.18, 0.50, -0.67, -0.44, -9.94, 0.03, 0.00, 0.00, 30.60, 100.11, 101.99, 9.97, 0.03, -0.01, 0.78, 0.62, 1, 0
7.29, -0.03, -0.18, 0.50, -0.67, -0.44, -9.94, 0.03, 0.00, 0.00, 30.60, 100.11, 101.99, 9.97, 0.03, -0.01, 0.78, 0.62, 1, 0
7.31, -0.03, -0.19, 0.50, -0.61, -0.32, -9.95, 0.02, 0.01, -0.01, 30.60, 100.11, 101.65, 9.97, 0.03, -0.01, 0.78, 0.62, 1, 0
7.33, -0.03, -0.19, 0.50, -0.61, -0.32, -9.95, 0.02, 0.01, -0.01, 30.60, 100.11, 101.65, 9.97, 0.03, -0.01, 0.78, 0.62, 1, 0
7.35, -0.03, -0.19, 0.50, -0.58, -0.52, -9.98, 0.02, 0.01, -0.01, 30.60, 100.11, 101.99, 10.01, 0.03, -0.01, 0.78, 0.62, 1, 0
7.37, -0.03, -0.19, 0.50, -0.58, -0.52, -9.98, 0.02, 0.01, -0.01, 30.60, 100.11, 101.99, 10.01, 0.03, -0.01, 0.78, 0.62, 1, 0
7.39, -0.03, -0.18, 0.50, -0.44, -0.50, -9.94, 0.03, 0.02, -0.01, 30.60, 100.11, 101.65, 9.96, 0.03, -0.01, 0.78, 0.62, 1, 0
7.41, -0.03, -0.18, 0.50, -0.44, -0.50, -9.94, 0.03, 0.02, -0.01, 30.60, 100.11, 101.65, 9.96, 0.03, -0.01, 0.78, 0.62, 1, 0
7.43, -0.03, -0.18, 0.50, -0.48, -0.43, -9.96, 0.02, 0.03, -0.01, 30.60, 100.12, 101.06, 9.98, 0.03, -0.00, 0.78, 0.62, 1, 0
7.45, -0.03, -0.18, 0.50, -0.48, -0.43, -9.96, 0.02, 0.03, -0.01, 30.60, 100.12, 101.06, 9.98, 0.03, -0.00, 0.78, 0.62, 1, 0
7.47, -0.03, -0.18, 0.50, -0.58, -0.55, -9.89, 0.02, 0.03, 0.01, 30.60, 100.12, 100.64, 9.92, 0.03, -0.00, 0.78, 0.62, 1, 0
7.49, -0.03, -0.18, 0.50, -0.58, -0.55, -9.89, 0.02, 0.03, 0.01, 30.60, 100.12, 100.64, 9.92, 0.03, -0.00, 0.78, 0.62, 1, 0
7.51, -0.03, -0.18, 0.50, -0.70, -0.38, -9.96, 0.02, 0.03, -0.01, 30.60, 100.11, 101.99, 9.99, 0.03, -0.00, 0.78, 0.62, 1, 0
7.53, -0.03, -0.18, 0.50, -0.70, -0.38, -9.96, 0.02, 0.03, -0.01, 30.60, 100.11, 101.99, 9.99, 0.03, -0.00, 0.78, 0.62, 1, 0
7.55, -0.03, -0.17, 0.50, -0.79, -0.33, -9.90, 0.01, 0.02, -0.03, 30.60, 100.11, 101.65, 9.94, 0.03, -0.00, 0.78, 0.62, 1, 0
7.57, -0.03, -0.17, 0.50, -0.79, -0.33, -9.90, 0.01, 0.02, -0.03, 30.60, 100.11, 101.65, 9.94, 0.03, -0.00, 0.78, 0.62, 1, 0
7.59, -0.03, -0.18, 0.50, -0.96, -0.31, -9.92, 0.00, 0.01, -0.03, 30.60, 100.11, 101.65, 9.97, 0.03, -0.00, 0.79, 0.62, 1, 0
7.61, -0.03, -0.18, 0.50, -0.96, -0.31, -9.92, 0.00, 0.01, -0.03, 30.60, 100.11, 101.65, 9.97, 0.03, -0.00, 0.79, 0.62, 1, 0
7.63, -0.03, -0.16, 0.50, -0.79, -0.41, -9.91, 0.00, -0.01, -0.02, 30.60, 100.11, 101.65, 9.95, 0.03, -0.00, 0.79, 0.62, 1, 0
7.65, -0.03, -0.16, 0.50, -0.79, -0.41, -9.91, 0.00, -0.01, -0.02, 30.60, 100.11, 101.65, 9.95, 0.03, -0.00, 0.79, 0.62, 1, 0
7.67, -0.03, -0.18, 0.50, -0.74, -0.42, -9.98, -0.00, -0.02, -0.01, 30.60, 100.11, 101.65, 10.02, 0.03, -0.00, 0.79, 0.62, 1, 0
7.69, -0.03, -0.18, 0.50, -0.74, -0.42, -9.98, -0.00, -0.02, -0.01, 30.60, 100.11, 101.65, 10.02, 0.03, -0.00, 0.79, 0.62, 1, 0
7.71, -0.04, -0.19, 0.51, -0.76, -0.71, -9.94, 0.00, -0.03, -0.05, 30.60, 100.11, 101.65, 10.00, 0.03, -0.00, 0.79, 0.62, 1, 0
7.73, -0.04, -0.19, 0.51, -0.76, -0.71, -9.94, 0.00, -0.03, -0.05, 30.60, 100.11, 101.65, 10.00, 0.03, -0.00, 0.79, 0.62, 1, 0
7.75, -0.03, -0.18, 0.50, -0.69, -0.75, -10.09, 0.02, -0.04, -0.02, 30.60, 100.11, 101.65, 10.14, 0.03, -0.00, 0.79, 0.62, 1, 0
7.77, -0.03, -0.18, 0.50, -0.69, -0.75, -10.09, 0.02, -0.04, -0.02, 30.60, 100.11, 101.65, 10.14, 0.03, -0.00, 0.79, 0.62, 1, 0
7.79, -0.03, -0.18, 0.51, -0.53, -0.50, -10.07, 0.03, -0.03, 0.03, 30.60, 100.11, 101.32, 10.10, 0.04, -0.00, 0.79, 0.62, 1, 0
7.81, -0.03, -0.18, 0.51, -0.53, -0.50, -10.07, 0.03, -0.03, 0.03, 30.60, 100.11, 101.32, 10.10, 0.04, -0.00, 0.79, 0.62, 1, 0
7.83, -0.03, -0.18, 0.51, -0.72, -0.15, -9.98, 0.01, -0.03, 0.02, 30.60, 100.10, 102.24, 10.00, 0.04, -0.00, 0.79, 0.61, 1, 0
7.85, -0.03, -0.18, 0.51, -0.72, -0.15, -9.98, 0.01, -0.03, 0.02, 30.60, 100.10, 102.24, 10.00, 0.04, -0.00, 0.79, 0.61, 1, 0
7.87, -0.03, -0.18, 0.50, -0.75, -0.09, -9.99, -0.01, -0.04, -0.00, 30.60, 100.11, 101.65, 10.02, 0.04, -0.01, 0.79, 0.61, 1, 0
7.89, -0.03, -0.18, 0.50, -0.75, -0.09, -9.99, -0.01, -0.04, -0.00, 30.60, 100.11, 101.65, 10.02, 0.04, -0.01, 0.79, 0.61, 1, 0
7.91, -0.03, -0.17, 0.50, -0.60, -0.26, -9.93, -0.02, -0.04, -0.05, 30.60, 100.11, 101.32, 9.95, 0.04, -0.01, 0.79, 0.61, 1, 0
7.93, -0.03, -0.17, 0.50, -0.60, -0.26, -9.93, -0.02, -0.04, -0.05, 30.60, 100.11, 101.32, 9.95, 0.04, -0.01, 0.79, 0.61, 1, 0
7.95, -0.03, -0.18, 0.50, -0.57, -0.38, -9.78, -0.02, -0.03, -0.04, 30.60, 100.11, 101.65, 9.80, 0.04, -0.01, 0.79, 0.61, 1, 0
7.97, -0.03, -0.18, 0.50, -0.57, -0.38, -9.78, -0.02, -0.03, -0.04, 30.60, 100.11, 101.65, 9.80, 0.04, -0.01, 0.79, 0.61, 1, 0
7.99, -0.03, -0.18, 0.50, -0.61, -0.36, -9.86, -0.03, -0.03, -0.06, 30.60, 100.10, 102.24, 9.88, 0.04, -0.01, 0.79, 0.61, 1, 0
8.01, -0.03, -0.18, 0.50, -0.61, -0.36, -9.86, -0.03, -0.03, -0.06, 30.60, 100.10, 102.24, 9.88, 0.04, -0.01, 0.79, 0.61, 1, 0
8.03, -0.03, -0.18, 0.50, -0.63, -0.60, -9.97, -0.03, -0.03, -0.04, 30.60, 100.10, 102.24, 10.00, 0.04, -0.01, 0.79, 0.61, 1, 0
8.05, -0.03, -0.18, 0.50, -0.63, -0.60, -9.97, -0.03, -0.03, -0.04, 30.60, 100.10, 102.24, 10.00, 0.04, -0.01, 0.79, 0.61, 1, 0
8.07, -0.02, -0.17, 0.51, -0.46, -0.64, -10.00, -0.03, -0.02, -0.02, 30.60, 100.10, 102.24, 10.03, 0.04, -0.01, 0.79, 0.62, 1, 0
8.09, -0.02, -0.17, 0.51, -0.46, -0.64, -10.00, -0.03, -0.02, -0.02, 30.60, 100.10, 102.24, 10.03, 0.04, -0.01, 0.79, 0.62, 1, 0
8.11, -0.03, -0.18, 0.50, -0.36, -0.70, -9.93, -0.02, 0.00, -0.02, 30.60, 100.13, 100.31, 9.96, 0.04, -0.01, 0.79, 0.62, 1, 0
8.13, -0.03, -0.18, 0.50, -0.36, -0.70, -9.93, -0.02, 0.00, -0.02, 30.60, 100.13, 100.31, 9.96, 0.04, -0.01, 0.79, 0.62, 1, 0
